Arborophila/Tropicoperdix sp. (<em class="sci">Arborophila/Tropicoperdix sp.</em>)	0.0	0.0042735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gray Peacock-Pheasant (<em class="sci">Polyplectron bicalcaratum</em>)	0.0802139	0.1111111	0.1533546	0.1395349	0.1896552	0.0793201	0.1352201	0.1572327	0.1513158	0.1382488	0.1345455	0.106599	0.0808824	0.0606061	0.0422535	0.0684932	0.0869565	0.0410959	0.0306122	0.0083333	0.0	0.0	0.0232558	0.0357143	0.0379747	0.0015	0.0307692	0.029703	0.0689655	0.0166667	0.030303	0.0188679	0.0277778	0.0	0.0	0.0	0.0232558	0.0106383	0.0192308	0.0	0.0130719	0.0328947	0.0287356	0.0297619	0.0151515	0.057554	0.0536913	0.0614525	
pheasant sp. (<em class="sci">Phasianidae sp. (pheasant sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0083333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Junglefowl (<em class="sci">Gallus gallus</em>)	0.2673797	0.3717949	0.3354633	0.3927649	0.3850575	0.2889518	0.3176101	0.408805	0.3848684	0.3778802	0.3709091	0.4010152	0.3823529	0.4949495	0.3309859	0.3219178	0.3478261	0.2739726	0.2857143	0.2166667	0.1666667	0.1304348	0.2713178	0.2142857	0.2658228	0.2727273	0.2307692	0.2277228	0.2068966	0.15	0.0909091	0.2075472	0.1388889	0.2666667	0.09375	0.25	0.1860465	0.2021277	0.1730769	0.2116402	0.2352941	0.3486842	0.2528736	0.2738095	0.2727273	0.3741007	0.3355705	0.2905028	
Chinese Francolin (<em class="sci">Francolinus pintadeanus</em>)	0.0	0.0042735	0.0031949	0.002584	0.0057471	0.0	0.0031447	0.0031447	0.0065789	0.0046083	0.0145455	0.0101523	0.0294118	0.010101	0.0	0.0136986	0.0086957	0.0	0.0510204	0.0015	0.037037	0.0	0.0	0.0178571	0.0	0.0181818	0.0307692	0.009901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010582	0.0015	0.0	0.0	0.0	0.0075758	0.0071942	0.0067114	0.0	
Blue-breasted Quail (<em class="sci">Synoicus chinensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010101	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rain Quail (<em class="sci">Coturnix coromandelica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0153846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075758	0.0071942	0.0	0.0	
Rock Pigeon (<em class="sci">Columba livia</em>)	0.0695187	0.1068376	0.0607029	0.0594315	0.0862069	0.0453258	0.0628931	0.0377358	0.0625	0.0322581	0.0581818	0.0812183	0.0514706	0.040404	0.0352113	0.0410959	0.0521739	0.0821918	0.0816327	0.05	0.0740741	0.0326087	0.0387597	0.0535714	0.0759494	0.0545455	0.0769231	0.019802	0.1034483	0.05	0.0	0.0188679	0.1111111	0.1333333	0.0	0.03125	0.0697674	0.0531915	0.0961538	0.0687831	0.0326797	0.1184211	0.0344828	0.1309524	0.0757576	0.0935252	0.0469799	0.0558659	
Pale-capped Pigeon (<em class="sci">Columba punicea</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian/African Collared-Dove (<em class="sci">Streptopelia decaocto/roseogrisea</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0083333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
